aircraft_code;seat_no;fare_conditions
ZBF;18D;ECONOMY
ZBF;19A;ECONOMY
ZBF;19B;PREMIUM
ZBF;19C;BUISNESS
ZBF;19D;ULTRAKAIF
ZBF;20A;ULTRAKAIF
ZBF;20B;BASE
ZBF;20C;PREMIUM
ZBF;20D;BUISNESS
ZBF;21A;PREMIUM
ZBF;21B;PREMIUM
ZBF;21C;PREMIUM
ZBF;21D;ULTRAKAIF
ZBF;22A;BASE
ZBF;22B;ADVANCE
ZBF;22C;ADVANCE
ZBF;22D;BASE
ZBF;23A;ADVANCE
ZBF;23B;BUISNESS
ZBF;23C;BASE
ZBF;23D;ADVANCE
ZBF;24A;ECONOMY
ZBF;24B;ADVANCE
ZBF;24C;ECONOMY
ZBF;24D;BUISNESS
ZBF;25A;BASE
ZBF;25B;ULTRAKAIF
ZBF;25C;ULTRAKAIF
ZBF;25D;BASE
ZBF;26A;ULTRAKAIF
ZBF;26B;ECONOMY
ZBF;26C;BUISNESS
ZBF;26D;BASE
ZBF;27A;ADVANCE
ZBF;27B;ULTRAKAIF
ZBF;27C;ECONOMY
ZBF;27D;BUISNESS
ZBF;28A;ADVANCE
ZBF;28B;PREMIUM
ZBF;28C;ECONOMY
ZBF;28D;ULTRAKAIF
ZBF;29A;ECONOMY
ZBF;29B;BUISNESS
ZBF;29C;ECONOMY
ZBF;29D;PREMIUM
ZBF;30A;ECONOMY
ZBF;30B;ADVANCE
ZBF;30C;ULTRAKAIF
ZBF;30D;BASE
ZBF;31A;PREMIUM
ZBF;31B;ADVANCE
ZBF;31C;ADVANCE
ZBF;31D;PREMIUM
ZBF;32A;PREMIUM
ZBF;32B;BUISNESS
ZBF;32C;ULTRAKAIF
ZBF;32D;PREMIUM
ZBF;33A;PREMIUM
ZBF;33B;ULTRAKAIF
ZBF;33C;ECONOMY
ZBF;33D;ADVANCE
ZBF;34A;PREMIUM
ZBF;34B;ADVANCE
ZBF;34C;BUISNESS
ZBF;34D;PREMIUM
ZBF;35A;ECONOMY
ZBF;35B;BASE
ZBF;35C;ADVANCE
ZBF;35D;BASE
ZBF;36A;ECONOMY
ZBF;36B;BUISNESS
ZBF;36C;BUISNESS
ZBF;36D;ADVANCE
ZBF;37A;BASE
ZBF;37B;ADVANCE
ZBF;37C;ULTRAKAIF
ZBF;37D;PREMIUM
ZBF;38A;ECONOMY
ZBF;38B;BUISNESS
ZBF;38C;ECONOMY
ZBF;38D;PREMIUM
ZBF;39A;BASE
ZBF;39B;BUISNESS
ZBF;39C;ADVANCE
ZBF;39D;BASE
ZBF;40A;PREMIUM
ZBF;40B;ECONOMY
ZBF;40C;ECONOMY
ZBF;40D;BUISNESS
KVP;1A;BASE
KVP;1B;ULTRAKAIF
KVP;1C;BUISNESS
KVP;1D;BUISNESS
KVP;2A;BUISNESS
KVP;2B;ECONOMY
KVP;2C;ADVANCE
KVP;2D;BASE
KVP;3A;BASE
KVP;3B;ADVANCE
KVP;3C;ADVANCE
KVP;3D;ADVANCE
KVP;4A;BASE
KVP;4B;ECONOMY
KVP;4C;PREMIUM
KVP;4D;PREMIUM
KVP;5A;ADVANCE
KVP;5B;ECONOMY
KVP;5C;ECONOMY
KVP;5D;PREMIUM
KVP;6A;PREMIUM
KVP;6B;PREMIUM
KVP;6C;BASE
KVP;6D;BUISNESS
KVP;7A;ECONOMY
KVP;7B;ECONOMY
KVP;7C;BUISNESS
KVP;7D;ULTRAKAIF
KVP;8A;ADVANCE
KVP;8B;BASE
KVP;8C;ECONOMY
KVP;8D;ECONOMY
KVP;9A;BUISNESS
KVP;9B;BASE
KVP;9C;ULTRAKAIF
KVP;9D;PREMIUM
KVP;10A;ULTRAKAIF
KVP;10B;BUISNESS
KVP;10C;ULTRAKAIF
KVP;10D;PREMIUM
KVP;11A;BASE
KVP;11B;ECONOMY
KVP;11C;PREMIUM
KVP;11D;BASE
KVP;12A;PREMIUM
KVP;12B;ULTRAKAIF
KVP;12C;ECONOMY
KVP;12D;BUISNESS
KVP;13A;BUISNESS
KVP;13B;BUISNESS
KVP;13C;ECONOMY
KVP;13D;PREMIUM
KVP;14A;ADVANCE
KVP;14B;ECONOMY
KVP;14C;ECONOMY
KVP;14D;BUISNESS
KVP;15A;ULTRAKAIF
KVP;15B;BASE
KVP;15C;ULTRAKAIF
KVP;15D;ULTRAKAIF
KVP;16A;ULTRAKAIF
KVP;16B;ADVANCE
KVP;16C;ADVANCE
KVP;16D;ECONOMY
KVP;17A;BUISNESS
KVP;17B;ULTRAKAIF
KVP;17C;ULTRAKAIF
KVP;17D;PREMIUM
KVP;18A;ULTRAKAIF
KVP;18B;ECONOMY
KVP;18C;BUISNESS
KVP;18D;ULTRAKAIF
KVP;19A;BASE
KVP;19B;ULTRAKAIF
KVP;19C;BUISNESS
KVP;19D;BUISNESS
KVP;20A;ULTRAKAIF
KVP;20B;ULTRAKAIF
KVP;20C;BUISNESS
KVP;20D;ULTRAKAIF
KVP;21A;BUISNESS
KVP;21B;ADVANCE
KVP;21C;PREMIUM
KVP;21D;BUISNESS
KVP;22A;PREMIUM
KVP;22B;BASE
KVP;22C;ECONOMY
KVP;22D;ULTRAKAIF
KVP;23A;ECONOMY
KVP;23B;ADVANCE
KVP;23C;PREMIUM
KVP;23D;ULTRAKAIF
KVP;24A;ULTRAKAIF
KVP;24B;BUISNESS
KVP;24C;ECONOMY
KVP;24D;PREMIUM
KVP;25A;ECONOMY
KVP;25B;BASE
KVP;25C;BASE
KVP;25D;PREMIUM
KVP;26A;ECONOMY
KVP;26B;PREMIUM
KVP;26C;BUISNESS
KVP;26D;ADVANCE
KVP;27A;ULTRAKAIF
KVP;27B;BUISNESS
KVP;27C;PREMIUM
KVP;27D;BUISNESS
KVP;28A;ECONOMY
KVP;28B;PREMIUM
KVP;28C;ULTRAKAIF
KVP;28D;BUISNESS
KVP;29A;BUISNESS
KVP;29B;ECONOMY
KVP;29C;ECONOMY
KVP;29D;PREMIUM
KVP;30A;ULTRAKAIF
KVP;30B;BASE
KVP;30C;ADVANCE
KVP;30D;BASE
KVP;31A;BUISNESS
KVP;31B;BUISNESS
KVP;31C;ADVANCE
KVP;31D;ULTRAKAIF
KVP;32A;ECONOMY
KVP;32B;ECONOMY
KVP;32C;ADVANCE
KVP;32D;BASE
KVP;33A;ECONOMY
KVP;33B;ULTRAKAIF
KVP;33C;ULTRAKAIF
KVP;33D;ULTRAKAIF
KVP;34A;BASE
KVP;34B;BASE
KVP;34C;ADVANCE
KVP;34D;ECONOMY
KVP;35A;PREMIUM
KVP;35B;ECONOMY
KVP;35C;ADVANCE
KVP;35D;BASE
KVP;36A;BASE
KVP;36B;ADVANCE
KVP;36C;ECONOMY
KVP;36D;ECONOMY
KVP;37A;ULTRAKAIF
KVP;37B;ADVANCE
KVP;37C;ECONOMY
KVP;37D;BASE
KVP;38A;PREMIUM
KVP;38B;BASE
KVP;38C;BUISNESS
KVP;38D;BUISNESS
KVP;39A;ADVANCE
KVP;39B;ULTRAKAIF
KVP;39C;BUISNESS
KVP;39D;ADVANCE
KVP;40A;ADVANCE
KVP;40B;ULTRAKAIF
KVP;40C;BUISNESS
KVP;40D;BASE
UUK;1A;ECONOMY
UUK;1B;PREMIUM
UUK;1C;ULTRAKAIF
UUK;1D;ECONOMY
UUK;2A;ECONOMY
UUK;2B;ECONOMY
UUK;2C;BASE
UUK;2D;ULTRAKAIF
UUK;3A;ECONOMY
UUK;3B;ADVANCE
UUK;3C;ECONOMY
UUK;3D;BASE
UUK;4A;PREMIUM
UUK;4B;ULTRAKAIF
UUK;4C;ULTRAKAIF
UUK;4D;PREMIUM
UUK;5A;PREMIUM
UUK;5B;ULTRAKAIF
UUK;5C;BASE
UUK;5D;ULTRAKAIF
UUK;6A;ECONOMY
UUK;6B;BUISNESS
UUK;6C;ECONOMY
UUK;6D;PREMIUM
UUK;7A;ECONOMY
UUK;7B;BASE
UUK;7C;BUISNESS
UUK;7D;PREMIUM
UUK;8A;ADVANCE
UUK;8B;BUISNESS
UUK;8C;ECONOMY
UUK;8D;BUISNESS
UUK;9A;ADVANCE
UUK;9B;BUISNESS
UUK;9C;BASE
UUK;9D;BASE
UUK;10A;ADVANCE
UUK;10B;BASE
UUK;10C;ADVANCE
UUK;10D;ECONOMY
UUK;11A;ECONOMY
UUK;11B;ADVANCE
UUK;11C;BUISNESS
UUK;11D;BASE
UUK;12A;ADVANCE
UUK;12B;ULTRAKAIF
UUK;12C;ULTRAKAIF
UUK;12D;ULTRAKAIF
UUK;13A;BUISNESS
UUK;13B;ADVANCE
UUK;13C;BUISNESS
UUK;13D;ADVANCE
UUK;14A;ULTRAKAIF
UUK;14B;ADVANCE
UUK;14C;BASE
UUK;14D;BASE
UUK;15A;ECONOMY
UUK;15B;BASE
UUK;15C;ADVANCE
UUK;15D;BUISNESS
UUK;16A;ECONOMY
UUK;16B;BUISNESS
UUK;16C;ADVANCE
UUK;16D;ADVANCE
UUK;17A;ADVANCE
UUK;17B;ADVANCE
UUK;17C;BASE
UUK;17D;PREMIUM
UUK;18A;ULTRAKAIF
UUK;18B;ECONOMY
UUK;18C;PREMIUM
UUK;18D;PREMIUM
UUK;19A;PREMIUM
UUK;19B;ADVANCE
UUK;19C;ADVANCE
UUK;19D;BUISNESS
UUK;20A;ADVANCE
UUK;20B;ECONOMY
UUK;20C;ADVANCE
UUK;20D;ECONOMY
UUK;21A;ULTRAKAIF
UUK;21B;PREMIUM
UUK;21C;ECONOMY
UUK;21D;ECONOMY
UUK;22A;BASE
UUK;22B;ECONOMY
UUK;22C;BASE
UUK;22D;ADVANCE
UUK;23A;BASE
UUK;23B;ULTRAKAIF
UUK;23C;BUISNESS
UUK;23D;ECONOMY
UUK;24A;ULTRAKAIF
UUK;24B;ECONOMY
UUK;24C;PREMIUM
UUK;24D;ADVANCE
UUK;25A;ECONOMY
UUK;25B;BASE
UUK;25C;ULTRAKAIF
UUK;25D;ULTRAKAIF
UUK;26A;BUISNESS
UUK;26B;ADVANCE
UUK;26C;BASE
UUK;26D;BASE
UUK;27A;PREMIUM
UUK;27B;BASE
UUK;27C;BASE
UUK;27D;ULTRAKAIF
UUK;28A;BUISNESS
UUK;28B;BASE
UUK;28C;PREMIUM
UUK;28D;PREMIUM
UUK;29A;PREMIUM
UUK;29B;PREMIUM
UUK;29C;ADVANCE
UUK;29D;ADVANCE
UUK;30A;BUISNESS
UUK;30B;BASE
UUK;30C;BUISNESS
UUK;30D;ULTRAKAIF
UUK;31A;ULTRAKAIF
UUK;31B;ADVANCE
UUK;31C;BUISNESS
UUK;31D;ULTRAKAIF
UUK;32A;BASE
UUK;32B;PREMIUM
UUK;32C;BUISNESS
UUK;32D;ULTRAKAIF
UUK;33A;PREMIUM
UUK;33B;BASE
UUK;33C;PREMIUM
UUK;33D;PREMIUM
UUK;34A;BASE
UUK;34B;ULTRAKAIF
UUK;34C;BASE
UUK;34D;ULTRAKAIF
UUK;35A;BUISNESS
UUK;35B;PREMIUM
UUK;35C;ADVANCE
UUK;35D;ULTRAKAIF
UUK;36A;ADVANCE
UUK;36B;ADVANCE
UUK;36C;BASE
UUK;36D;BASE
UUK;37A;ADVANCE
UUK;37B;ECONOMY
UUK;37C;ECONOMY
UUK;37D;ECONOMY
UUK;38A;ULTRAKAIF
UUK;38B;PREMIUM
UUK;38C;PREMIUM
UUK;38D;ADVANCE
UUK;39A;PREMIUM
UUK;39B;BASE
UUK;39C;BUISNESS
UUK;39D;PREMIUM
UUK;40A;ADVANCE
UUK;40B;ULTRAKAIF
UUK;40C;BASE
UUK;40D;BUISNESS
CIY;1A;PREMIUM
CIY;1B;ADVANCE
CIY;1C;ECONOMY
CIY;1D;PREMIUM
CIY;2A;ECONOMY
CIY;2B;ECONOMY
CIY;2C;BUISNESS
CIY;2D;BASE
CIY;3A;PREMIUM
CIY;3B;PREMIUM
CIY;3C;ULTRAKAIF
CIY;3D;ADVANCE
CIY;4A;BUISNESS
CIY;4B;ULTRAKAIF
CIY;4C;BASE
CIY;4D;ECONOMY
CIY;5A;BUISNESS
CIY;5B;PREMIUM
CIY;5C;BASE
CIY;5D;ECONOMY
CIY;6A;BUISNESS
CIY;6B;ULTRAKAIF
CIY;6C;ULTRAKAIF
CIY;6D;BASE
CIY;7A;ADVANCE
CIY;7B;ULTRAKAIF
CIY;7C;ULTRAKAIF
CIY;7D;PREMIUM
CIY;8A;BUISNESS
CIY;8B;ECONOMY
CIY;8C;BASE
CIY;8D;ECONOMY
CIY;9A;ADVANCE
CIY;9B;ECONOMY
CIY;9C;ADVANCE
CIY;9D;ADVANCE
CIY;10A;ADVANCE
CIY;10B;PREMIUM
CIY;10C;BUISNESS
CIY;10D;ADVANCE
CIY;11A;ADVANCE
CIY;11B;ECONOMY
CIY;11C;PREMIUM
CIY;11D;BUISNESS
CIY;12A;PREMIUM
CIY;12B;BUISNESS
CIY;12C;ADVANCE
CIY;12D;ECONOMY
CIY;13A;BASE
CIY;13B;PREMIUM
CIY;13C;BASE
CIY;13D;ADVANCE
CIY;14A;ADVANCE
CIY;14B;ECONOMY
CIY;14C;BASE
CIY;14D;ADVANCE
CIY;15A;ULTRAKAIF
CIY;15B;BASE
CIY;15C;ECONOMY
CIY;15D;PREMIUM
CIY;16A;PREMIUM
CIY;16B;BUISNESS
CIY;16C;BASE
CIY;16D;BASE
CIY;17A;ULTRAKAIF
CIY;17B;BUISNESS
CIY;17C;BASE
CIY;17D;BASE
CIY;18A;ECONOMY
CIY;18B;ADVANCE
CIY;18C;BASE
CIY;18D;PREMIUM
CIY;19A;ADVANCE
CIY;19B;BASE
CIY;19C;BUISNESS
CIY;19D;PREMIUM
CIY;20A;BUISNESS
CIY;20B;ECONOMY
CIY;20C;ADVANCE
CIY;20D;ULTRAKAIF
CIY;21A;BUISNESS
CIY;21B;ECONOMY
CIY;21C;PREMIUM
CIY;21D;ECONOMY
CIY;22A;ECONOMY
CIY;22B;BASE
CIY;22C;BASE
CIY;22D;ULTRAKAIF
CIY;23A;ECONOMY
CIY;23B;PREMIUM
CIY;23C;ULTRAKAIF
CIY;23D;PREMIUM
CIY;24A;ADVANCE
CIY;24B;ADVANCE
CIY;24C;ADVANCE
CIY;24D;ULTRAKAIF
CIY;25A;ADVANCE
CIY;25B;BUISNESS
CIY;25C;PREMIUM
CIY;25D;ECONOMY
CIY;26A;ADVANCE
CIY;26B;ADVANCE
CIY;26C;ECONOMY
CIY;26D;ULTRAKAIF
CIY;27A;BASE
CIY;27B;ECONOMY
CIY;27C;ADVANCE
CIY;27D;BASE
CIY;28A;BASE
CIY;28B;ULTRAKAIF
CIY;28C;BUISNESS
CIY;28D;ECONOMY
CIY;29A;ECONOMY
CIY;29B;PREMIUM
CIY;29C;ADVANCE
CIY;29D;ADVANCE
CIY;30A;ECONOMY
CIY;30B;BASE
CIY;30C;ECONOMY
CIY;30D;PREMIUM
CIY;31A;ULTRAKAIF
CIY;31B;BASE
CIY;31C;ECONOMY
CIY;31D;ULTRAKAIF
CIY;32A;BASE
CIY;32B;BASE
CIY;32C;ADVANCE
CIY;32D;BASE
CIY;33A;BASE
CIY;33B;ADVANCE
CIY;33C;ADVANCE
CIY;33D;ULTRAKAIF
CIY;34A;ULTRAKAIF
CIY;34B;ULTRAKAIF
CIY;34C;BASE
CIY;34D;BUISNESS
CIY;35A;PREMIUM
CIY;35B;ECONOMY
CIY;35C;BASE
CIY;35D;BASE
CIY;36A;BASE
CIY;36B;ADVANCE
CIY;36C;ADVANCE
CIY;36D;ULTRAKAIF
CIY;37A;ULTRAKAIF
CIY;37B;PREMIUM
CIY;37C;ECONOMY
CIY;37D;ECONOMY
CIY;38A;ULTRAKAIF
CIY;38B;ADVANCE
CIY;38C;BUISNESS
CIY;38D;ECONOMY
CIY;39A;ECONOMY
CIY;39B;ADVANCE
CIY;39C;ULTRAKAIF
CIY;39D;PREMIUM
CIY;40A;PREMIUM
CIY;40B;BASE
CIY;40C;BASE
CIY;40D;ECONOMY
NZK;1A;ECONOMY
NZK;1B;ULTRAKAIF
NZK;1C;ADVANCE
NZK;1D;PREMIUM
NZK;2A;BUISNESS
NZK;2B;BASE
NZK;2C;ECONOMY
NZK;2D;BASE
NZK;3A;ULTRAKAIF
NZK;3B;PREMIUM
NZK;3C;BASE
NZK;3D;BASE
NZK;4A;ECONOMY
NZK;4B;PREMIUM
NZK;4C;ULTRAKAIF
NZK;4D;BASE
NZK;5A;ECONOMY
NZK;5B;BASE
NZK;5C;ECONOMY
NZK;5D;ULTRAKAIF
NZK;6A;PREMIUM
NZK;6B;ECONOMY
NZK;6C;BUISNESS
NZK;6D;BUISNESS
NZK;7A;PREMIUM
NZK;7B;ULTRAKAIF
NZK;7C;ULTRAKAIF
NZK;7D;ULTRAKAIF
NZK;8A;BUISNESS
NZK;8B;ULTRAKAIF
NZK;8C;ECONOMY
NZK;8D;BUISNESS
NZK;9A;PREMIUM
NZK;9B;ADVANCE
NZK;9C;ECONOMY
NZK;9D;BUISNESS
NZK;10A;BUISNESS
NZK;10B;ECONOMY
NZK;10C;BASE
NZK;10D;BUISNESS
NZK;11A;BUISNESS
NZK;11B;ULTRAKAIF
NZK;11C;ADVANCE
NZK;11D;ECONOMY
NZK;12A;ULTRAKAIF
NZK;12B;BASE
NZK;12C;ECONOMY
NZK;12D;ECONOMY
NZK;13A;BASE
NZK;13B;PREMIUM
NZK;13C;BUISNESS
NZK;13D;BUISNESS
NZK;14A;ADVANCE
NZK;14B;BUISNESS
NZK;14C;BASE
NZK;14D;ULTRAKAIF
NZK;15A;ECONOMY
NZK;15B;ADVANCE
NZK;15C;BUISNESS
NZK;15D;BUISNESS
NZK;16A;ULTRAKAIF
NZK;16B;BASE
NZK;16C;ADVANCE
NZK;16D;ECONOMY
NZK;17A;PREMIUM
NZK;17B;ECONOMY
NZK;17C;ULTRAKAIF
NZK;17D;BASE
NZK;18A;ULTRAKAIF
NZK;18B;ADVANCE
NZK;18C;BASE
NZK;18D;ULTRAKAIF
NZK;19A;BUISNESS
NZK;19B;ULTRAKAIF
NZK;19C;ECONOMY
NZK;19D;PREMIUM
NZK;20A;ECONOMY
NZK;20B;BASE
NZK;20C;BUISNESS
NZK;20D;PREMIUM
NZK;21A;BUISNESS
NZK;21B;BASE
NZK;21C;ULTRAKAIF
NZK;21D;ADVANCE
NZK;22A;ULTRAKAIF
NZK;22B;PREMIUM
NZK;22C;ULTRAKAIF
NZK;22D;PREMIUM
NZK;23A;ADVANCE
NZK;23B;BASE
NZK;23C;BASE
NZK;23D;BASE
NZK;24A;ULTRAKAIF
NZK;24B;ULTRAKAIF
NZK;24C;BUISNESS
NZK;24D;BUISNESS
NZK;25A;PREMIUM
NZK;25B;BASE
NZK;25C;BUISNESS
NZK;25D;BUISNESS
NZK;26A;ECONOMY
NZK;26B;BUISNESS
NZK;26C;BASE
NZK;26D;ECONOMY
NZK;27A;ULTRAKAIF
NZK;27B;BUISNESS
NZK;27C;ULTRAKAIF
NZK;27D;ULTRAKAIF
NZK;28A;ULTRAKAIF
NZK;28B;ADVANCE
NZK;28C;ULTRAKAIF
NZK;28D;BASE
NZK;29A;ULTRAKAIF
NZK;29B;ECONOMY
NZK;29C;ULTRAKAIF
NZK;29D;ECONOMY
NZK;30A;PREMIUM
NZK;30B;PREMIUM
NZK;30C;ECONOMY
NZK;30D;ECONOMY
NZK;31A;ULTRAKAIF
NZK;31B;ECONOMY
NZK;31C;ULTRAKAIF
NZK;31D;ULTRAKAIF
NZK;32A;ADVANCE
NZK;32B;PREMIUM
NZK;32C;BASE
NZK;32D;ADVANCE
NZK;33A;ULTRAKAIF
NZK;33B;ADVANCE
NZK;33C;PREMIUM
NZK;33D;BASE
NZK;34A;ADVANCE
NZK;34B;BUISNESS
NZK;34C;ADVANCE
NZK;34D;PREMIUM
NZK;35A;ADVANCE
NZK;35B;PREMIUM
NZK;35C;ULTRAKAIF
NZK;35D;ADVANCE
NZK;36A;BUISNESS
NZK;36B;PREMIUM
NZK;36C;PREMIUM
NZK;36D;BUISNESS
NZK;37A;BASE
NZK;37B;BUISNESS
NZK;37C;ULTRAKAIF
NZK;37D;ULTRAKAIF
NZK;38A;BUISNESS
NZK;38B;ADVANCE
NZK;38C;BASE
NZK;38D;BUISNESS
NZK;39A;ADVANCE
NZK;39B;ADVANCE
NZK;39C;BUISNESS
NZK;39D;PREMIUM
NZK;40A;ADVANCE
NZK;40B;BASE
NZK;40C;PREMIUM
NZK;40D;PREMIUM
BXT;1A;ADVANCE
BXT;1B;PREMIUM
BXT;1C;ADVANCE
BXT;1D;ECONOMY
BXT;2A;ULTRAKAIF
BXT;2B;ULTRAKAIF
BXT;2C;PREMIUM
BXT;2D;ADVANCE
BXT;3A;ECONOMY
BXT;3B;PREMIUM
BXT;3C;BUISNESS
BXT;3D;BUISNESS
BXT;4A;ADVANCE
BXT;4B;ULTRAKAIF
BXT;4C;BUISNESS
BXT;4D;ULTRAKAIF
BXT;5A;PREMIUM
BXT;5B;PREMIUM
BXT;5C;PREMIUM
BXT;5D;ULTRAKAIF
BXT;6A;BASE
BXT;6B;ADVANCE
BXT;6C;BUISNESS
BXT;6D;ULTRAKAIF
BXT;7A;ADVANCE
BXT;7B;PREMIUM
BXT;7C;PREMIUM
BXT;7D;ADVANCE
BXT;8A;ULTRAKAIF
BXT;8B;BASE
BXT;8C;ECONOMY
BXT;8D;PREMIUM
BXT;9A;BUISNESS
BXT;9B;ECONOMY
BXT;9C;BUISNESS
BXT;9D;BASE
BXT;10A;BASE
BXT;10B;ECONOMY
BXT;10C;PREMIUM
BXT;10D;BASE
BXT;11A;PREMIUM
BXT;11B;ECONOMY
BXT;11C;BUISNESS
BXT;11D;ECONOMY
BXT;12A;BASE
BXT;12B;ULTRAKAIF
BXT;12C;BASE
BXT;12D;ULTRAKAIF
BXT;13A;PREMIUM
BXT;13B;BASE
BXT;13C;PREMIUM
BXT;13D;ECONOMY
BXT;14A;ULTRAKAIF
BXT;14B;BUISNESS
BXT;14C;ECONOMY
BXT;14D;ADVANCE
BXT;15A;BASE
BXT;15B;ULTRAKAIF
BXT;15C;ULTRAKAIF
BXT;15D;PREMIUM
BXT;16A;ULTRAKAIF
BXT;16B;BUISNESS
BXT;16C;PREMIUM
BXT;16D;PREMIUM
BXT;17A;BUISNESS
BXT;17B;ECONOMY
BXT;17C;BUISNESS
BXT;17D;PREMIUM
BXT;18A;PREMIUM
BXT;18B;ULTRAKAIF
BXT;18C;ULTRAKAIF
BXT;18D;BASE
BXT;19A;BUISNESS
BXT;19B;ULTRAKAIF
BXT;19C;ECONOMY
BXT;19D;ADVANCE
BXT;20A;ULTRAKAIF
BXT;20B;BASE
BXT;20C;ECONOMY
BXT;20D;ECONOMY
BXT;21A;BUISNESS
BXT;21B;BASE
BXT;21C;ULTRAKAIF
BXT;21D;ADVANCE
BXT;22A;BASE
BXT;22B;ULTRAKAIF
BXT;22C;BASE
BXT;22D;ECONOMY
BXT;23A;PREMIUM
BXT;23B;ULTRAKAIF
BXT;23C;PREMIUM
BXT;23D;ECONOMY
BXT;24A;ADVANCE
BXT;24B;ADVANCE
BXT;24C;ECONOMY
BXT;24D;ULTRAKAIF
BXT;25A;PREMIUM
BXT;25B;BASE
BXT;25C;ADVANCE
BXT;25D;BUISNESS
BXT;26A;BASE
BXT;26B;BUISNESS
BXT;26C;PREMIUM
BXT;26D;BASE
BXT;27A;PREMIUM
BXT;27B;PREMIUM
BXT;27C;ULTRAKAIF
BXT;27D;ADVANCE
BXT;28A;PREMIUM
BXT;28B;ULTRAKAIF
BXT;28C;BUISNESS
BXT;28D;BASE
BXT;29A;BASE
BXT;29B;ADVANCE
BXT;29C;PREMIUM
BXT;29D;ULTRAKAIF
BXT;30A;BASE
BXT;30B;BASE
BXT;30C;ECONOMY
BXT;30D;BASE
BXT;31A;BUISNESS
BXT;31B;ADVANCE
BXT;31C;ULTRAKAIF
BXT;31D;ULTRAKAIF
BXT;32A;BASE
BXT;32B;PREMIUM
BXT;32C;ECONOMY
BXT;32D;ECONOMY
BXT;33A;PREMIUM
BXT;33B;BUISNESS
BXT;33C;BASE
BXT;33D;ECONOMY
BXT;34A;ECONOMY
BXT;34B;ADVANCE
BXT;34C;BASE
BXT;34D;BUISNESS
BXT;35A;ADVANCE
BXT;35B;ADVANCE
BXT;35C;ULTRAKAIF
BXT;35D;BUISNESS
BXT;36A;PREMIUM
BXT;36B;ADVANCE
BXT;36C;BASE
BXT;36D;PREMIUM
BXT;37A;BASE
BXT;37B;ULTRAKAIF
BXT;37C;ADVANCE
BXT;37D;BASE
BXT;38A;PREMIUM
BXT;38B;ULTRAKAIF
BXT;38C;ADVANCE
BXT;38D;PREMIUM
BXT;39A;BASE
BXT;39B;ULTRAKAIF
BXT;39C;ADVANCE
BXT;39D;ADVANCE
BXT;40A;ULTRAKAIF
BXT;40B;ULTRAKAIF
BXT;40C;ULTRAKAIF
BXT;40D;ECONOMY
DDN;1A;ADVANCE
DDN;1B;ADVANCE
DDN;1C;ULTRAKAIF
DDN;1D;ULTRAKAIF
DDN;2A;ULTRAKAIF
DDN;2B;ULTRAKAIF
DDN;2C;ADVANCE
DDN;2D;ULTRAKAIF
DDN;3A;ULTRAKAIF
DDN;3B;BASE
DDN;3C;BUISNESS
DDN;3D;BUISNESS
DDN;4A;ECONOMY
DDN;4B;BASE
DDN;4C;BASE
DDN;4D;ADVANCE
DDN;5A;ADVANCE
DDN;5B;ULTRAKAIF
DDN;5C;BUISNESS
DDN;5D;BASE
DDN;6A;ECONOMY
DDN;6B;BASE
DDN;6C;BASE
DDN;6D;ECONOMY
